date,description,amount,balance,category,transaction_type
2025-07-21,Water Department,-79.59783140830375,26938.090848019347,Utilities,debit
2025-07-23,Commission,12892.704349074222,14103.648392200748,Income,credit
2025-07-24,Cable TV,50.57945232655215,26988.670300345897,Utilities,credit
2025-07-25,Direct Deposit,12914.0402872269,27017.68867942765,Income,credit
2025-07-26,Disney+,-95.41248692141448,26893.257813424483,Entertainment,debit
2025-07-27,Vision Center,-94.29242440126433,26798.96538902322,Healthcare,debit
2025-07-28,Restaurant,-21.93485057365908,26777.03053844956,Entertainment,debit
2025-07-28,Bar,-20.396365107486886,26756.63417334207,Entertainment,debit
2025-07-28,Walmart,50.77549521734703,26807.409668559416,Shopping,credit
2025-07-29,Gym Membership,-55.9350625468369,26751.47460601258,Entertainment,debit
2025-07-30,Spotify,18.301112076838315,26769.77571808942,Entertainment,credit
2025-07-30,Microsoft Store,62.01103430432454,26831.786752393742,Shopping,credit
2025-08-01,Medical Equipment,-42.846996325911476,26788.93975606783,Healthcare,debit
2025-08-02,IKEA,91.62591108753686,26880.565667155366,Housing,credit
2025-08-02,Nike,92.08588181543404,26972.6515489708,Shopping,credit
2025-08-05,Property Tax,71.58720327044492,27044.238752241246,Housing,credit
2025-08-08,Macy's,-71.44989777282072,26972.788854468425,Shopping,debit
2025-08-10,Apple Store,85.28316363860196,27058.07201810703,Shopping,credit
2025-08-11,Doctor Office,-29.832439871605246,27028.23957823542,Healthcare,debit
2025-08-11,Microsoft Store,60.52563467127473,27088.765212906696,Shopping,credit
2025-08-12,Smart Home Services,-69.32824179012741,27019.436971116567,Utilities,debit
2025-08-12,Lowe's,-56.05074597153943,26963.386225145026,Housing,debit
2025-08-13,Home Insurance,-39.940766189111926,26923.445458955914,Housing,debit
2025-08-14,Dental Office,-76.86063394386531,26846.584825012047,Healthcare,debit
2025-08-14,Amazon,-23.89702779228135,26822.687797219765,Shopping,debit
2025-08-15,Waste Management,25.378534955824584,26848.06633217559,Utilities,credit
2025-08-16,Electric Company,97.58196195875577,26945.648294134346,Utilities,credit
2025-08-16,Concert Venue,-10.332215388860094,26935.316078745487,Entertainment,debit
2025-08-17,IKEA,-66.44876389619384,26868.867314849293,Housing,debit
