date,description,amount,balance,category,transaction_type
2025-07-20,Investment Income,15410.760978658807,45470.90128639133,Income,credit
2025-07-21,Gap,275.4278845110507,60889.0935823236,Shopping,credit
2025-07-23,Smart Home Services,-314.3658424116011,60574.727739912,Utilities,debit
2025-07-23,HEB,86.68981999176918,60661.41755990377,Groceries,credit
2025-07-24,Salary Deposit,15142.764411421214,60613.66569781255,Income,credit
2025-07-25,Microsoft Store,-304.52786365277683,60356.88969625099,Shopping,debit
2025-07-25,Trader Joe's,-189.4150693003838,60167.47462695061,Groceries,debit
2025-07-25,Hulu,484.3005004747418,60651.775127425346,Entertainment,credit
2025-07-27,Smart Home Services,198.62681366134655,60850.40194108669,Utilities,credit
2025-07-27,Water Department,-367.0928779915178,60483.30906309517,Utilities,debit
2025-07-27,Old Navy,-337.015222398648,60146.29384069652,Shopping,debit
2025-07-28,Gas Company,-62.433972525638985,60083.85986817088,Utilities,debit
2025-07-28,Furniture Store,472.8469894625417,60556.70685763343,Housing,credit
2025-07-30,Internet Provider,367.0905170139157,60923.79737464734,Utilities,credit
2025-07-30,Electric Company,-116.24882022649398,60807.54855442085,Utilities,debit
2025-07-31,Whole Foods Market,-65.32241859834534,60742.22613582251,Groceries,debit
2025-07-31,Bar,341.936566089112,61084.16270191162,Entertainment,credit
2025-08-01,Internet Provider,-100.54819233315467,60983.61450957847,Utilities,debit
2025-08-01,Costco,-266.4896078207185,60717.12490175775,Groceries,debit
2025-08-03,Amazon,-80.93280592479306,60636.19209583296,Shopping,debit
2025-08-03,Adidas,-193.82001919778577,60442.37207663517,Shopping,debit
2025-08-03,Restaurant,-338.0655744583362,60104.306502176834,Entertainment,debit
2025-08-03,Bar,-72.54299990472163,60031.763502272115,Entertainment,debit
2025-08-04,Mortgage Payment,-420.3960776205777,59611.36742465154,Housing,debit
2025-08-05,Nike,-271.9013542682992,59339.466070383234,Shopping,debit
2025-08-05,IKEA,-96.1024008795749,59243.36366950366,Housing,debit
2025-08-05,Home Depot,-394.54139741056173,58848.8222720931,Housing,debit
2025-08-06,Fitness Center,-241.94678972246527,58606.87548237063,Entertainment,debit
2025-08-08,Home Depot,-287.65304337386567,58319.22243899677,Housing,debit
2025-08-09,Aldi,-118.17698868218352,58201.04545031458,Groceries,debit
2025-08-09,Water Department,-484.88389618220566,57716.16155413238,Utilities,debit
2025-08-12,Concert Venue,-263.95608756920376,57452.20546656317,Entertainment,debit
2025-08-12,Walmart,-300.33238314667483,57151.873083416496,Shopping,debit
2025-08-13,IKEA,-252.2099654747862,56899.66311794171,Housing,debit
2025-08-13,Lowe's,-489.92226368723624,56409.74085425447,Housing,debit
2025-08-13,Mortgage Payment,-254.7617951070897,56154.97905914739,Housing,debit
2025-08-14,Netflix,-192.01924150336748,55962.95981764402,Entertainment,debit
2025-08-14,Target Grocery,-440.5458549708701,55522.41396267315,Groceries,debit
2025-08-15,Kroger,-91.48550410816901,55430.92845856498,Groceries,debit
2025-08-16,Disney+,122.56810449952383,55553.4965630645,Entertainment,credit
2025-08-17,Property Tax,-59.650691195933305,55493.845871868565,Housing,debit
