date,description,amount,balance,category,transaction_type
2025-07-22,Lowe's,-83.06426839094125,28331.10486787331,Housing,debit
2025-07-23,Commission,12091.390167491714,28414.169136264252,Income,credit
2025-07-24,Microsoft Store,-79.2918541886527,28251.813013684656,Shopping,debit
2025-07-25,Payroll,12366.071247795599,16322.77896877254,Income,credit
2025-07-26,Fitness Center,96.7167763716937,28348.52979005635,Entertainment,credit
2025-07-26,Furniture Store,78.78247820361553,28427.312268259964,Housing,credit
2025-07-27,Trader Joe's,-27.31804356731611,28399.994224692648,Groceries,debit
2025-07-27,Walmart,33.10044431979952,28433.094669012447,Shopping,credit
2025-07-27,Movie Theater,-20.37026895318845,28412.72440005926,Entertainment,debit
2025-07-29,Mortgage Payment,-35.33330253813296,28377.391097521126,Housing,debit
2025-07-29,Safeway,78.85884871332263,28456.24994623445,Groceries,credit
2025-07-29,Macy's,45.991051707352256,28502.2409979418,Shopping,credit
2025-07-29,Safeway,-79.41841105633499,28422.822586885464,Groceries,debit
2025-07-31,Concert Venue,-91.8041262176411,28331.018460667823,Entertainment,debit
2025-08-01,Property Tax,-96.86070968602193,28234.1577509818,Housing,debit
2025-08-01,Pharmacy,-38.22115819053295,28195.93659279127,Healthcare,debit
2025-08-01,Lowe's,-19.330513484571014,28176.606079306697,Housing,debit
2025-08-02,Costco,-92.26339928345058,28084.34268002325,Groceries,debit
2025-08-03,Target,-58.820631279132755,28025.522048744115,Shopping,debit
2025-08-04,Adidas,50.76367957057656,28076.28572831469,Shopping,credit
2025-08-04,Lowe's,76.75904905061964,28153.04477736531,Housing,credit
2025-08-06,Apple Store,-25.794419440827323,28127.250357924484,Shopping,debit
2025-08-06,Restaurant,51.323490244277416,28178.573848168762,Entertainment,credit
2025-08-06,Vision Center,-90.15184253386914,28088.422005634893,Healthcare,debit
2025-08-10,Property Tax,-97.69817237114194,27990.72383326375,Housing,debit
2025-08-11,Dental Office,30.606983082526366,28021.330816346275,Healthcare,credit
2025-08-11,Dental Office,-31.465845378600587,27989.864970967676,Healthcare,debit
2025-08-12,Netflix,10.90591106738238,28000.770882035056,Entertainment,credit
2025-08-12,Safeway,-47.62173596696905,27953.149146068088,Groceries,debit
2025-08-13,Lowe's,18.563112176907406,27971.712258244996,Housing,credit
2025-08-14,Food Lion,-38.13879881032618,27933.57345943467,Groceries,debit
2025-08-15,Lab Services,-45.569390025117116,27888.00406940955,Healthcare,debit
