date,description,amount,balance,category,transaction_type
2025-07-19,Refund,13389.473815564166,52490.82716980174,Income,credit
2025-07-20,Aldi,-189.2324335692193,65720.58932503081,Groceries,debit
2025-07-20,IKEA,-92.29221589092697,65628.2971091399,Housing,debit
2025-07-21,Macy's,140.45514252668485,65768.75225166658,Shopping,credit
2025-07-21,Home Depot,182.04780379932927,65950.80005546591,Housing,credit
2025-07-22,Lyft,-65.15671168014143,65885.64334378576,Transportation,debit
2025-07-24,Refund,13418.994588798301,65909.82175860004,Income,credit
2025-07-25,Trader Joe's,-31.029935397563236,65854.6134083882,Groceries,debit
2025-07-26,Mobil,-186.93650325482895,65667.67690513338,Transportation,debit
2025-07-26,Trader Joe's,-78.36855497330748,65589.30835016008,Groceries,debit
2025-07-28,Old Navy,-55.64770841191593,65533.66064174816,Shopping,debit
2025-07-28,Lowe's,49.96469570889269,65583.62533745705,Housing,credit
2025-07-28,Walmart Grocery,160.51439789741602,65744.13973535447,Groceries,credit
2025-07-28,Rent Payment,-160.31281682135494,65583.82691853312,Housing,debit
2025-07-29,Apple Store,-77.49094672187513,65506.33597181124,Shopping,debit
2025-07-30,Target Grocery,167.7446897320374,65674.08066154328,Groceries,credit
2025-07-30,Adidas,-136.30643902418328,65537.7742225191,Shopping,debit
2025-07-30,Whole Foods Market,-168.7759562827174,65368.998266236384,Groceries,debit
2025-07-31,Lowe's,-187.6112923227919,65181.38697391359,Housing,debit
2025-07-31,Kroger,132.31881156739527,65313.70578548099,Groceries,credit
2025-08-01,Apple Store,-21.41878452165376,65292.28700095934,Shopping,debit
2025-08-01,Home Insurance,-76.85485359405388,65215.43214736528,Housing,debit
2025-08-02,7-Eleven Gas,77.59618859955945,65293.02833596484,Transportation,credit
2025-08-02,Costco,-184.3193252364487,65108.70901072839,Groceries,debit
2025-08-02,Shell,-197.29651070607588,64911.412500022314,Transportation,debit
2025-08-02,Enterprise Rent-A-Car,-20.378742080995313,64891.03375794132,Transportation,debit
2025-08-03,Trader Joe's,-146.89469652079617,64744.13906142052,Groceries,debit
2025-08-03,Old Navy,-67.3609766745306,64676.778084745994,Shopping,debit
2025-08-03,BP,-107.10009008016735,64569.67799466583,Transportation,debit
2025-08-03,IKEA,-120.83881162712747,64448.8391830387,Housing,debit
2025-08-04,Nike,-181.94032480704757,64266.89885823165,Shopping,debit
2025-08-04,Adidas,-57.33467883622016,64209.564179395435,Shopping,debit
2025-08-04,Target,-111.61072277426614,64097.953456621166,Shopping,debit
2025-08-04,HEB,-103.43444743860705,63994.51900918256,Groceries,debit
2025-08-05,Nike,114.86358235769875,64109.382591540256,Shopping,credit
2025-08-05,Mobil,-157.2192715887727,63952.16331995148,Transportation,debit
2025-08-07,Mobil,87.86864951346263,64040.031969464944,Transportation,credit
2025-08-08,Aldi,-75.99328120800924,63964.03868825694,Groceries,debit
2025-08-09,Metro Transit,-171.64375774238704,63792.39493051455,Transportation,debit
2025-08-09,Sprouts Farmers Market,108.33211913096555,63900.72704964552,Groceries,credit
2025-08-10,Shell,-130.25879938297152,63770.468250262544,Transportation,debit
2025-08-10,Old Navy,-41.43246704392169,63729.03578321862,Shopping,debit
2025-08-10,Furniture Store,-74.98812850472233,63654.0476547139,Housing,debit
2025-08-12,IKEA,-196.65138994659918,63457.396264767296,Housing,debit
2025-08-12,Food Lion,50.848356747101114,63508.244621514394,Groceries,credit
2025-08-12,Property Tax,56.82819947089996,63565.0728209853,Housing,credit
2025-08-14,Shell,-20.571665135633694,63544.50115584966,Transportation,debit
2025-08-15,Lowe's,-136.20085764424186,63408.300298205424,Housing,debit
2025-08-15,Property Tax,-87.09980307097038,63321.20049513446,Housing,debit
2025-08-16,Sprouts Farmers Market,184.34228687776042,63505.54278201222,Groceries,credit
2025-08-17,Metro Transit,-95.13692378107845,63410.40585823114,Transportation,debit
2025-08-17,Enterprise Rent-A-Car,181.61055384136682,63592.01641207251,Transportation,credit
2025-08-17,Property Tax,-166.83836568911883,63425.17804638339,Housing,debit
2025-08-17,Trader Joe's,191.08349232490045,63616.26153870829,Groceries,credit
2025-08-17,Mobil,-118.64460173668955,63497.6169369716,Transportation,debit
