date,description,amount,balance,category,transaction_type
2025-07-19,Uber,-23.308363894550546,30018.558233002153,Transportation,debit
2025-07-19,Waste Management,-12.573847208121027,30005.984385794032,Utilities,debit
2025-07-19,Internet Provider,-33.13687483003598,29972.847510963995,Utilities,debit
2025-07-20,Bonus Payment,12950.385433168512,16346.84510778943,Income,credit
2025-07-20,Commission,13695.021489107276,30041.866596896703,Income,credit
2025-07-21,Medical Center,28.669899352974554,30001.51741031697,Healthcare,credit
2025-07-22,Sprouts Farmers Market,35.09855026094546,30036.615960577914,Groceries,credit
2025-07-22,Mobil,12.462998305097042,30049.078958883012,Transportation,credit
2025-07-22,Amazon,78.71167496589871,30127.790633848912,Shopping,credit
2025-07-22,Amazon,40.36043826777987,30168.151072116692,Shopping,credit
2025-07-22,Uber,-34.55878629541404,30133.59228582128,Transportation,debit
2025-07-23,Cable TV,41.98696517121074,30175.57925099249,Utilities,credit
2025-07-23,Amazon,-13.2522570841761,30162.326993908315,Shopping,debit
2025-07-23,Netflix,-45.80297796670163,30116.524015941613,Entertainment,debit
2025-07-23,Movie Theater,-21.468264624318547,30095.055751317293,Entertainment,debit
2025-07-23,Target Grocery,-71.34033239457347,30023.71541892272,Groceries,debit
2025-07-23,Chevron,-76.94648216269557,29946.76893676002,Transportation,debit
2025-07-23,Spotify,34.23490310040259,29981.003839860423,Entertainment,credit
2025-07-25,Whole Foods Market,-14.729732451871989,29966.27410740855,Groceries,debit
2025-07-25,Smart Home Services,-92.85148433635021,29873.422623072198,Utilities,debit
2025-07-25,Taxi Service,-32.258194605517374,29841.16442846668,Transportation,debit
2025-07-26,Macy's,57.40169746385143,29898.56612593053,Shopping,credit
2025-07-26,Food Lion,86.26698375766267,29984.833109688192,Groceries,credit
2025-07-27,Concert Venue,-43.94669245722277,29940.88641723097,Entertainment,debit
2025-07-28,Waste Management,-34.246872066009686,29906.63954516496,Utilities,debit
2025-07-29,Chevron,-81.74207288867687,29824.897472276283,Transportation,debit
2025-07-29,Exxon,-38.12840419896688,29786.769068077316,Transportation,debit
2025-07-29,Amazon Prime,34.81637910985681,29821.58544718717,Entertainment,credit
2025-07-29,Macy's,22.84091530321052,29844.426362490383,Shopping,credit
2025-07-30,Publix,29.172102451746788,29873.59846494213,Groceries,credit
2025-07-31,Gap,-32.349010648163144,29841.249454293968,Shopping,debit
2025-07-31,Kroger,75.48616489187313,29916.73561918584,Groceries,credit
2025-07-31,Waste Management,93.33867728336148,30010.074296469204,Utilities,credit
2025-08-01,Adidas,41.56021765533497,30051.63451412454,Shopping,credit
2025-08-01,Gas Company,-52.78488423236848,29998.84962989217,Utilities,debit
2025-08-02,Spotify,-38.826546482709844,29960.023083409462,Entertainment,debit
2025-08-02,Apple Store,64.9049857194419,30024.928069128902,Shopping,credit
2025-08-02,Metro Transit,-38.10793886048488,29986.820130268417,Transportation,debit
2025-08-04,Apple Store,-16.997884817323136,29969.822245451094,Shopping,debit
2025-08-04,Nike,-70.91278759941147,29898.90945785168,Shopping,debit
2025-08-04,Home Security,-84.21353335576302,29814.695924495918,Utilities,debit
2025-08-04,Budget Car Rental,-19.816164232928625,29794.87976026299,Transportation,debit
2025-08-05,Safeway,-84.19771582613961,29710.68204443685,Groceries,debit
2025-08-05,Walmart Grocery,95.46261593419587,29806.144660371046,Groceries,credit
2025-08-06,Medical Center,73.95447479652648,29880.099135167573,Healthcare,credit
2025-08-06,Sports Arena,79.43165677519335,29959.530791942765,Entertainment,credit
2025-08-07,Disney+,-34.91565643530633,29924.615135507458,Entertainment,debit
2025-08-07,BP,-56.067387428922686,29868.547748078534,Transportation,debit
2025-08-08,Best Buy,70.26985667065242,29938.817604749187,Shopping,credit
2025-08-08,Apple Store,-70.8272486206595,29867.99035612853,Shopping,debit
2025-08-08,Doctor Office,45.56967228367923,29913.56002841221,Healthcare,credit
2025-08-08,Concert Venue,-19.84336564746624,29893.716662764742,Entertainment,debit
2025-08-08,Cable TV,77.62675078337509,29971.34341354812,Utilities,credit
2025-08-09,Exxon,-31.16297883406633,29940.180434714053,Transportation,debit
2025-08-10,Phone Company,37.958978726368336,29978.13941344042,Utilities,credit
2025-08-11,Electric Company,50.7801154022859,30028.919528842707,Utilities,credit
2025-08-11,Sports Arena,-25.551901958975197,30003.367626883733,Entertainment,debit
2025-08-12,Disney+,-60.38706729958887,29942.980559584146,Entertainment,debit
2025-08-12,Pharmacy,-95.68161019292971,29847.298949391217,Healthcare,debit
2025-08-12,Shell,44.48482387088524,29891.7837732621,Transportation,credit
2025-08-12,Home Security,-34.8043345674337,29856.979438694667,Utilities,debit
2025-08-13,Sprouts Farmers Market,42.0083446261847,29898.987783320852,Groceries,credit
2025-08-14,Nike,-51.56345694153576,29847.424326379318,Shopping,debit
2025-08-14,Doctor Office,-17.832799517467663,29829.591526861852,Healthcare,debit
2025-08-14,Electric Company,-15.41414678851557,29814.177380073335,Utilities,debit
2025-08-14,Chevron,56.66978532213322,29870.84716539547,Transportation,credit
2025-08-14,Gym Membership,-14.133518700158383,29856.713646695312,Entertainment,debit
2025-08-15,Restaurant,-92.73121275426436,29763.982433941048,Entertainment,debit
2025-08-15,Sprouts Farmers Market,-68.69583579465781,29695.28659814639,Groceries,debit
2025-08-15,Parking Garage,-43.08865828309866,29652.197939863294,Transportation,debit
2025-08-16,Sports Arena,-11.229893754484769,29640.96804610881,Entertainment,debit
2025-08-17,Restaurant,30.796878121804827,29671.764924230614,Entertainment,credit
