date,description,amount,balance,category,transaction_type
2025-06-19,Payroll,12432.785357416717,46548.435304443454,Income,credit
2025-06-19,Payroll,12370.556892710858,58918.99219715431,Income,credit
2025-06-20,Food Lion,-78.3891948193376,58840.603002334974,Groceries,debit
2025-06-20,Gap,-92.25331136123198,58748.349690973744,Shopping,debit
2025-06-20,Bar,-81.1391221619312,58667.21056881181,Entertainment,debit
2025-06-20,Dental Office,-22.889100998788997,58644.321467813024,Healthcare,debit
2025-06-21,Restaurant,20.13478144265003,58664.45624925567,Entertainment,credit
2025-06-21,Gas Company,-72.4462051815143,58592.01004407416,Utilities,debit
2025-06-23,Nike,-59.229347623864584,58532.780696450296,Shopping,debit
2025-06-23,Pharmacy,-77.98233794704436,58454.79835850325,Healthcare,debit
2025-06-23,Target Grocery,-91.80476282737094,58362.99359567588,Groceries,debit
2025-06-23,Taxi Service,-64.56325999869938,58298.43033567718,Transportation,debit
2025-06-23,Gas Company,-90.61739649858426,58207.81293917859,Utilities,debit
2025-06-23,Gap,-42.75160702013931,58165.06133215845,Shopping,debit
2025-06-23,Lab Services,32.12152203532612,58197.18285419378,Healthcare,credit
2025-06-24,Nordstrom,-99.74194890018579,58097.440905293595,Shopping,debit
2025-06-24,Electric Company,-59.532239013279785,58037.90866628032,Utilities,debit
2025-06-24,Lab Services,-11.641829105249485,58026.26683717507,Healthcare,debit
2025-06-25,Concert Venue,38.80283459627357,58065.06967177134,Entertainment,credit
2025-06-25,Smart Home Services,43.128561262053886,58108.1982330334,Utilities,credit
2025-06-25,Apple Store,-24.945712662980736,58083.25252037042,Shopping,debit
2025-06-26,Macy's,54.45700909186374,58137.709529462285,Shopping,credit
2025-06-27,Nike,-89.65428735700003,58048.055242105285,Shopping,debit
2025-06-27,Vision Center,-81.98055591741006,57966.07468618787,Healthcare,debit
2025-06-28,Cable TV,66.34314651028689,58032.41783269816,Utilities,credit
2025-06-29,Electric Company,-74.1267004559523,57958.2911322422,Utilities,debit
2025-06-29,Bar,11.24489999951408,57969.53603224172,Entertainment,credit
2025-06-29,Hulu,72.15714524515096,58041.69317748687,Entertainment,credit
2025-06-29,Food Lion,-91.1749201022553,57950.51825738462,Groceries,debit
2025-06-29,Spotify,89.83467506491085,58040.35293244953,Entertainment,credit
2025-06-30,Gym Membership,55.740215286952505,58096.09314773649,Entertainment,credit
