ED_PATH,HEL_WORK,BONUS_PCT,DON_STYLE,MOM_GIFT_USE,FX_SCENARIO,RISK_BAND,cfg_id,PV_10yr_Surplus,Mean_Annual_CF,QoL_Score,Financial_Stress_Rank,Avg_Equity_Allocation,Risk_Evolution_Range,prob_shortfall_10yr,cashflow_volatility_10yr,prob_insolvency_10yr,var_95_10yr,min_cushion_median,QoL_financial_security,QoL_income_stability,QoL_lifestyle_quality,QoL_generosity_fulfillment,QoL_cushion_comfort
JohnsHopkins,Full‑time,0.1,2,0,Stress,3,CFG_PD,567381.1662387125,159904.40476491954,0.44589999999999996,0.9208813637733833,0.505,0.69,0.326,2.634937879244611,0.0,-15023.159706908318,-105412.4341871131,0.6739999999999999,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,2,0,Stress,2,CFG_PC,567381.1662387125,159904.40476491954,0.44589999999999996,0.9208813637733833,0.505,0.69,0.326,2.634937879244611,0.0,-15023.159706908318,-105412.4341871131,0.6739999999999999,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,2,0,Stress,1,CFG_PB,567381.1662387125,159904.40476491954,0.44589999999999996,0.9208813637733833,0.505,0.69,0.326,2.634937879244611,0.0,-15023.159706908318,-105412.4341871131,0.6739999999999999,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,1,1,Stress,3,CFG_OX,817381.1662387125,159904.40476491954,0.48089999999999994,0.8812153140749085,0.505,0.69,0.22600000000000003,2.6360510469163616,0.0,9976.840293091684,-98390.3573756943,0.774,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,1,1,Stress,2,CFG_OW,817381.1662387125,159904.40476491954,0.48089999999999994,0.8812153140749085,0.505,0.69,0.22600000000000003,2.6360510469163616,0.0,9976.840293091684,-98390.3573756943,0.774,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,1,1,Stress,1,CFG_OV,817381.1662387125,159904.40476491954,0.48089999999999994,0.8812153140749085,0.505,0.69,0.22600000000000003,2.6360510469163616,0.0,9976.840293091684,-98390.3573756943,0.774,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,1,0,Stress,3,CFG_OR,817381.1662387125,159904.40476491954,0.48089999999999994,0.8812153140749085,0.505,0.69,0.22600000000000003,2.6360510469163616,0.0,9976.840293091684,-98390.3573756943,0.774,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,1,0,Stress,2,CFG_OQ,817381.1662387125,159904.40476491954,0.48089999999999994,0.8812153140749085,0.505,0.69,0.22600000000000003,2.6360510469163616,0.0,9976.840293091684,-98390.3573756943,0.774,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.1,1,0,Stress,1,CFG_OP,817381.1662387125,159904.40476491954,0.48089999999999994,0.8812153140749085,0.505,0.69,0.22600000000000003,2.6360510469163616,0.0,9976.840293091684,-98390.3573756943,0.774,0.0,0.7,0.6,0.1
JohnsHopkins,Full‑time,0.2,0,0,Base,1,CFG_PE,758831.1662387125,174808.60476491955,0.49355,0.7162160034746422,0.505,0.69,0.24699999999999997,2.058053344915474,0.0,1438.0999947617443,-43784.729281673805,0.753,0.0,0.7,0.8,0.1
JohnsHopkins,Full‑time,0.2,0,1,Base,3,CFG_PM,758831.1662387125,174808.60476491955,0.49355,0.7162160034746422,0.505,0.69,0.24699999999999997,2.058053344915474,0.0,1438.0999947617443,-43784.729281673805,0.753,0.0,0.7,0.8,0.1
JohnsHopkins,Full‑time,0.2,0,1,Base,2,CFG_PL,758831.1662387125,174808.60476491955,0.49355,0.7162160034746422,0.505,0.69,0.24699999999999997,2.058053344915474,0.0,1438.0999947617443,-43784.729281673805,0.753,0.0,0.7,0.8,0.1
JohnsHopkins,Full‑time,0.2,0,0,Base,2,CFG_PF,758831.1662387125,174808.60476491955,0.49355,0.7162160034746422,0.505,0.69,0.24699999999999997,2.058053344915474,0.0,1438.0999947617443,-43784.729281673805,0.753,0.0,0.7,0.8,0.1
JohnsHopkins,Full‑time,0.2,0,0,Base,3,CFG_PG,758831.1662387125,174808.60476491955,0.49355,0.7162160034746422,0.505,0.69,0.24699999999999997,2.058053344915474,0.0,1438.0999947617443,-43784.729281673805,0.753,0.0,0.7,0.8,0.1
JohnsHopkins,Full‑time,0.2,0,1,Base,1,CFG_PK,758831.1662387125,174808.60476491955,0.49355,0.7162160034746422,0.505,0.69,0.24699999999999997,2.058053344915474,0.0,1438.0999947617443,-43784.729281673805,0.753,0.0,0.7,0.8,0.1
